Audience,Quarter,FTS Association (%),Communication Recall (%)
Total,Q4 2022,15%,43%
Total,Q1 2023,16%,38%
Total,Q2 2023,18%,40%
Total,Q3 2023,18%,47%
Total,Q4 2023,19%,44%
Millennials,Q4 2022,20%,56%
Millennials,Q1 2023,25%,51%
Millennials,Q2 2023,20%,47%
Millennials,Q3 2023,23%,55%
Millennials,Q4 2023,25%,55%
Gen X,Q4 2022,16%,41%
Gen X,Q1 2023,16%,35%
Gen X,Q2 2023,23%,44%
Gen X,Q3 2023,22%,53%
Gen X,Q4 2023,21%,44%
Boomers,Q4 2022,8%,25%
Boomers,Q1 2023,9%,26%
Boomers,Q2 2023,15%,31%
Boomers,Q3 2023,15%,32%
Boomers,Q4 2023,11%,28%
